filename,type,dominant_color,pattern,season,formality
blackcat4s.jpeg,shoes,"rgb(253,253,253)",,,
bluejeans.jpeg,bottom,"rgb(219,220,221)",,,
blackbeanie.jpeg,unknown,"rgb(254,254,253)",,,
brownlongdress.jpeg,unknown,"rgb(237,236,236)",,,
yellowshoes.jpeg,shoes,"rgb(254,254,253)",,,
darkbluejeans.jpeg,bottom,"rgb(242,241,239)",,,
blackcap.jpeg,unknown,"rgb(253,253,253)",,,
redblackflannel.jpeg,top,"rgb(252,252,252)",,,
trapperhat.jpeg,outerwear,"rgb(254,253,253)",,,
longjeanskirt.jpeg,bottom,"rgb(254,254,254)",,,
blackjacket.jpeg,top,"rgb(30,29,34)",,,
lightbluejeans.jpeg,bottom,"rgb(238,238,238)",,,
shortjeanskirt.jpeg,bottom,"rgb(234,232,235)",,,
blackwinterjacket.jpeg,top,"rgb(16,16,16)",,,
blacknorthface.jpeg,top,"rgb(45,45,45)",,,
blackshoes.jpeg,shoes,"rgb(248,248,248)",,,
brownhat.jpg,unknown,"rgb(254,254,254)",,,
whitesweater.jpeg,top,"rgb(254,253,252)",,,
whitewomenlongsleeve.jpeg,top,"rgb(254,254,254)",,,
colorfulshoes.jpeg,shoes,"rgb(253,252,252)",,,
blueflannel.jpeg,top,"rgb(252,253,253)",,,
browncoat.jpeg,top,"rgb(242,243,238)",,,
blueshirt.jpeg,top,"rgb(253,254,254)",,,
bluesweaster.jpeg,top,"rgb(234,235,238)",,,
yellowwomanshortsleevetop.jpeg,top,"rgb(254,254,253)",,,
burgquaterzip.jpeg,top,"rgb(238,238,238)",,,
